"username","userId","entryTitle","entryTitleId","entryId","entry","entryDate"
"nobet tutan kobra","1097327","bmc tulga","6186903","95663674","bu aracın motoru yerli üretim ve hukuksal sahibi bmc midir bu konuda hiçbir bilgi göremedim internette?","22.09.2019 11:44"
"nobet tutan kobra","1097327","kürtlerin en iyi oldukları konu","5124227","95246153","yt","12.09.2019 11:49"
"nobet tutan kobra","1097327","kimsenin meşru savunma hakkını bilmemesi","6160912","94657339","haklı bir tespittir insanların bu konularda televizyonlar ve diğer kitle iletişim araçlarıyla bilgilendirmek lazım.","30.08.2019 16:43"
"nobet tutan kobra","1097327","kebire atamaz","6159497","94656928","bu başlıkta yer alan içerik, ekşisözlük yazarları tarafından dikkate değer bulunmadığı için ülke gündemine taşınmasına gerek görülmemiştir.","30.08.2019 16:32"
"nobet tutan kobra","1097327","ömür gedik'in babasının testisi","6157625","94529645","bu foto çekileli bu kadar yıl geçtimi lan? yaşlanıyoruz valla.","27.08.2019 21:51"
"nobet tutan kobra","1097327","insan nedir","166468","94332975","--- spoiler ---""hiç kimse yalnızca başkası için özveride bulunmuş değildir. insanlar başkaları için gündelik feragatlerde bulunurlar, fakat bu öncelikle kendi iyilikleri içindir. eylem, öncelikle kendi içlerini ferahlatmak zorundadır. bundan yararlanan diğer kişiler ikinci sırada gelir.""--- spoiler ---","23.08.2019 12:41"
"nobet tutan kobra","1097327","white fang","174495","94290479","kitabını önce okuyup ardından aynı gün filmini izledim, bir kitap nasıl yazılmalı ve bir film nasıl çekilmemeli ikisini aynı gün deneyimledim.","22.08.2019 15:20"
"nobet tutan kobra","1097327","fabio coentrao","2154690","94272411","manager oyunlarında marcelodan daha iyi gelişim gösteren oyuncuydu yazık etti kendine","22.08.2019 02:28"
"nobet tutan kobra","1097327","kadının erkekten evrildiği gerçeği","6150811","94272115","orgazmdan sonra işeme isteği evrime kanıt olabildiğine göre her şey birbirinden evrimleşmiş olabilir.","22.08.2019 02:16"
"nobet tutan kobra","1097327","ibb'nin havaalanında hacıları karşılaması","6150310","94253960","ekrem hacı dayıların oylarına göz dikti reis bu işe çok kızacak.","21.08.2019 19:25"
"nobet tutan kobra","1097327","cinlerin avrupalı insanlara musallat olmama nedeni","5416510","94091868","avrupalılar coğrafi olarak bize yakın olduğu için her alanda olduğu gibi bu konuda da öncelikle onlar üzerinden yürüyoruz. tabiki cinler ve diğer görünmeyen fakat insandan daha üstün varlıklar cahiliyeti çok sever ve cahil insanlarla ilgilenirler. bu yüzden cahiliyetin olduğu her yerde bunlar musallat olur. inanmazsınız japonyada bile saf cahil olan insanlara musallat oluyor bu köftehorlar.","18.08.2019 13:03"
"nobet tutan kobra","1097327","16 ağustos 2019 cuma hutbesi","6143646","93998639","diyanet içindeki yeni parti oluşumlarının destekçileri tarafından hazırlanmış olması kuvvetle muhtemeldir. şimdi kendilerine haritadan yer beğeniyorlardır muhtemelen.(bkz: sürgün)","16.08.2019 14:50"
"nobet tutan kobra","1097327","dinler neden yok olmuyor sorunsalı","6137293","93731095","uzun uzun yazmak hatta birkaç twitter floodu linki vermek böylece savımı desteklemek isterdim ancak çok uzatmaya gerek yok. insanlar cahil ve fakir kaldığı müddetçe dinlere inanmaya devam edeceklerdir çünkü dinler fakirlerin tesellisidir.bu dünyada erişemedikleri nimetlere başka bir dünyada erişebilecek olmanın umuduyla yaşarlar ve ilahi adalete inanma ihtiyacı hissederler.ayrıca bir ikinci sebep ise; alışılagelmiş ananelerdir ve bu kültürel devamlılıktan kopamazlar. örneğin iki gün sonra bayram ve inanan inanmayan herkes kendini allah adına kurban kesilen ortamlarda bulacak, kurulan sofralarda yemekler yenecek.ayrıca insanların zekaları bu karmaşık dünyayı bir yaratıcının yaratmış olması fikrini mantıklı bulmaktadır ve bu düşünceden sıyrılmak çok zordur.","10.08.2019 01:41"
"nobet tutan kobra","1097327","kurban etinden yiyen ateist","6136954","93720147","ne yapsın; babaanne ben ateistim kurban eti yiyemem mi desin? kadını kalpten mi götürsün?","09.08.2019 21:13"
"nobet tutan kobra","1097327","tarihi eminönü balıkçısında yaşanan vahşet","6134514","93625863","devlet değil muz cumhuriyeti","07.08.2019 17:30"
"nobet tutan kobra","1097327","hz ömer'in şam'a girişi","6073206","93569047","böyle serin hikayeler okudukça içim ferahlıyor ve neredeyse hz. ömeri makam düşkünü olmayan bir insan sanıyorum.","06.08.2019 10:12"
"nobet tutan kobra","1097327","soloman","6120794","93568042","başarısız bir troll.","06.08.2019 09:37"
"nobet tutan kobra","1097327","kobo glo hd","4790448","93321064","çok düz bir alet, içeriğinde hiçbir şey yok. görüntüsü de çok sıradan. ayrıca epub formatını desteklediği için kaynak bulmak veya oluşturmak kolay oluyor. eh zaten amaç kitap okumak olduğu için bu alet bana yetiyor da artıyor bile.","31.07.2019 18:34"
"nobet tutan kobra","1097327","e-kitap","80075","93320977","türkçe kaynaklar açısından çok kısıtlı olan kitap okuma platformu. bir çok kitabın özellikle de son yıllarda çıkan kitapların neredeyse hiçbiri yok.ülkemizde telif hakları vs. cezaya tabi olduğu için ben de aldığım basılı kitapları e-kitaba çevirip yaymaktan korkuyorum.","31.07.2019 18:31"
"nobet tutan kobra","1097327","öğretmen maaşının yüksek olması","4352923","93262714","bütün öğretmenler başlık altında ülkenin geleceği ve gelecek nesilleri yetiştirmekten falan bahsederek kendini savunmuş. buna sadece kargalar güler. ülkenin geleceği bizim öğretmenlere emanetse işimiz zor.","30.07.2019 11:56"
"nobet tutan kobra","1097327","kaz dağları siyanürlü altın madeni direnişi","6121660","93222088","yukarıya taşınması gereken haklı direniş","29.07.2019 12:38"
"nobet tutan kobra","1097327","topuklu ayakkabıyla kuzunun gözünü oyan kadın","6118948","93029067","bunlar insan mı? dedirten videodur","24.07.2019 20:08"
"nobet tutan kobra","1097327","tarkan'ı cumhurbaşkanı yapmak","6112804","92782965","seçimle gelemez tabiki ancak direk cumhurbaşkanı olsa durum şimdikinden daha kötü olamazdı herhalde.","18.07.2019 23:05"
"nobet tutan kobra","1097327","abd'nin iran'a ait insansız hava aracını düşürmesi","6112795","92782442","defender kuleleri otomatikte unutmuşlardır.","18.07.2019 22:55"
"nobet tutan kobra","1097327","ekşi sözlük dertleşecek insan veritabanı","3188805","92782036","hayatla ilgili konularda sohbet edebiliriz beklerim.","18.07.2019 22:48"
"nobet tutan kobra","1097327","ekşi sözlük dertleşecek insan veritabanı","3188805","92699364","anlatmak isteyen suser varsa dinleyebilirim","16.07.2019 23:26"
"nobet tutan kobra","1097327","acun firarda feridun","6110418","92689832","esat değilmiydi o diyerek artırıyorum.","16.07.2019 19:27"
"nobet tutan kobra","1097327","ekşi sözlük dertleşecek insan veritabanı","3188805","92689787","eh madem öyle ben de dinleyebilirim","16.07.2019 19:25"
"nobet tutan kobra","1097327","türkiye'nin tarikat gerçeği","6110059","92677450","çözüm eğitimdir ancak bunu bilen tarikatlar eğitimi de ele geçirmiş durumdadır. din dersleri fen derslerinden önemli hale gelmişken kimi nasıl eğiteceksin.","16.07.2019 13:48"
"nobet tutan kobra","1097327","tavşanlı belediyesi'nin 15 temmuz programı","6109238","92645540","başıma bişey gelmesinden korktuğum için seçim sonuçlarını şuraya bırakıyorum--- spoiler ---31 haziran seçim sonuçlarıakp : 19.970 oysaadet: 19732 oy--- spoiler ---","15.07.2019 19:32 ~ 19:33"
"nobet tutan kobra","1097327","fethullah gülen darbeden önce ölseydi neler olurdu","6109175","92645032","adına üniversite açılır, köprü yapılır, hava alanı yapılır, şehir parkı yapılır, ilk yerli otomobile marka olur lise böyle uzar giderdi...","15.07.2019 19:18"
"nobet tutan kobra","1097327","türkiye'de memur olmak","6109239","92644964","iktidara yakınsanız; salla başı al maaşı yaparak kolaylıkla kademe atlayabilirsiniz.","15.07.2019 19:17"
"nobet tutan kobra","1097327","mutsuzken yapılanlar","2250775","92643144","satranç oynamak(online) evet çok vakit geçiriyor. ayrıca kitap okumak da çok güzel kafa dağıtır ve ufku açarak dikkati başka yöne çeker. ancak kitap konusunda seçici olmak ve odaklanılabilecek bir kitap seçmek gerekiyor aman dikkat.","15.07.2019 18:23"
"nobet tutan kobra","1097327","dw türkçe'nin kuleli askeri lisesi videosu","6109153","92642915","bu çocuk baya baya yakışıklıymış dizilerde reklamlarda falan oynasın da hayatı değişsin bari. zira bu travma kolay kolay atlatılamaz.","15.07.2019 18:17"
"nobet tutan kobra","1097327","squat","231162","92642382","brezilyalı hatunların default olarak doğuştan gelen bir istekle yaptıkları fitness hareketi.","15.07.2019 18:02"
"nobet tutan kobra","1097327","15 temmuz 2019 sivas valiliği kamuoyu duyurusu","6108782","92630453","en kısa zamanda valinin merkeze çekilmesi ile sonuçlanacaktır.","15.07.2019 12:12"
